Directory,Initial_Tokens,Initial_Functions,Initial_Contracts_Libraries_Interfaces,Greduce_Tokens,Greduce_Functions,Greduce_Contracts_Libraries_Interfaces,Greduce_Time_s,Perses_Tokens_Solidity2,Perses_Functions_Solidity2,Perses_Contracts_Libraries_Interfaces_Solidity2,Perses_Time_s_Solidity2,Perses_Tokens_Solidity,Perses_Functions_Solidity,Perses_Contracts_Libraries_Interfaces_Solidity,Perses_Time_s_Solidity
Solidity/smart1,1209,25,11,339,18,7,84.22569148208618,187,13,5,1105,189,14,5,1762.83268904686
Solidity/smart10,581,14,3,118,3,3,31.34010252116068,34,3,2,123,38,3,2,290.856739997864
Solidity/smart11,276,3,7,76,3,4,21.03669871527041,41,3,3,128,60,3,6,497.223371267319
Solidity/smart12,1316,33,14,84,4,6,86.8147586319998,41,2,4,135,59,2,7,297.477855205536
Solidity/smart13,1862,39,22,41,2,3,48.93251806139122,26,2,2,63,28,2,2,266.002220153809
Solidity/smart14,4142,97,11,744,17,9,381.814658862151,253,15,6,1771,255,15,11,2202.49178791046
Solidity/smart15,726,12,6,76,3,1,10.77267628151566,22,3,1,54,22,3,1,162.952202796936
Solidity/smart16,429,8,5,46,1,1,23.789143651657614,38,1,1,156,39,1,1,316.128854751587
Solidity/smart17,2603,69,16,54,1,2,59.11801172850211,17,1,2,33,51,1,8,424.022599935532
Solidity/smart18,3964,76,23,153,5,5,118.54119267179871,44,3,2,231,49,3,3,398.352025747299
Solidity/smart19,2603,69,16,62,2,1,43.62189888161265,15,1,1,38,15,1,1,97.0305347442627
Solidity/smart2,1287,28,4,123,5,1,17.12515236341168,34,5,1,76,38,5,2,111.144165039063
Solidity/smart20,255,7,5,255,7,5,14.228513448867798,44,2,4,208,48,2,4,529.643523454666
Solidity/smart21,2172,34,9,193,10,4,85.22607151016218,76,6,2,324,70,7,2,459.197713851929
Solidity/smart22,1742,41,8,54,3,1,58.89162883087158,29,3,1,107,28,3,1,176.478847742081
Solidity/smart23,433,13,5,32,1,3,15.445617815782898,16,1,2,29,16,1,2,56
Solidity/smart24,2070,48,5,74,3,1,71.168154152302,62,3,1,159,63,3,1,210
Solidity/smart25,1929,73,10,813,38,4,325.71281656011963,427,37,3,2229,426,37,3,2622
Solidity/smart3,1644,39,19,130,4,7,81.1212744896698,85,3,6,340,100,3,8,432.321254491806
Solidity/smart4,935,28,8,109,3,5,42.5162289928436,22,3,2,84,22,3,2,191.146084785461
Solidity/smart5,80,1,2,80,1,2,15.081274115260498,24,1,1,129,25,1,1,234.991265535355
Solidity/smart6,3141,62,24,146,3,2,81.03644514679443,24,2,1,269,25,2,1,445.193598747253
Solidity/smart7,3782,48,13,87,2,4,107.017301904297,19,1,1,129,37,2,2,226.514430761337
Solidity/smart8,953,30,10,338,13,4,58.23996225814615,72,10,4,353,72,10,3,431.816219568253
Solidity/smart9,835,12,8,221,5,2,32.12024640083313,25,2,1,138,26,2,1,167.904296875

